gvkey,iid,datadate,tic,prccd
170617,01,2019-08-23,META,177.75000000
170617,01,2019-08-26,META,180.36000000
170617,01,2019-08-27,META,181.30000000
170617,01,2019-08-28,META,181.76000000
170617,01,2019-08-29,META,185.57000000
170617,01,2019-08-30,META,185.67000000
170617,01,2019-09-03,META,182.39000000
170617,01,2019-09-04,META,187.14000000
170617,01,2019-09-05,META,190.90000000
170617,01,2019-09-06,META,187.49000000
170617,01,2019-09-09,META,188.76000000
170617,01,2019-09-10,META,186.17000000
170617,01,2019-09-11,META,188.49000000
170617,01,2019-09-12,META,187.47000000
170617,01,2019-09-13,META,187.19000000
170617,01,2019-09-16,META,186.22000000
170617,01,2019-09-17,META,188.08000000
170617,01,2019-09-18,META,188.14000000
170617,01,2019-09-19,META,190.14000000
170617,01,2019-09-20,META,189.93000000
170617,01,2019-09-23,META,186.82000000
170617,01,2019-09-24,META,181.28000000
170617,01,2019-09-25,META,182.80000000
170617,01,2019-09-26,META,180.11000000
170617,01,2019-09-27,META,177.10000000
170617,01,2019-09-30,META,178.08000000
170617,01,2019-10-01,META,175.81000000
170617,01,2019-10-02,META,174.60000000
170617,01,2019-10-03,META,179.38000000
170617,01,2019-10-04,META,180.45000000
170617,01,2019-10-07,META,179.68000000
170617,01,2019-10-08,META,177.75000000
170617,01,2019-10-09,META,179.85000000
170617,01,2019-10-10,META,180.03000000
170617,01,2019-10-11,META,184.19000000
170617,01,2019-10-14,META,183.28000000
170617,01,2019-10-15,META,188.89000000
170617,01,2019-10-16,META,189.55000000
170617,01,2019-10-17,META,190.39000000
170617,01,2019-10-18,META,185.85000000
170617,01,2019-10-21,META,189.76000000
170617,01,2019-10-22,META,182.34000000
170617,01,2019-10-23,META,186.15000000
170617,01,2019-10-24,META,186.38000000
170617,01,2019-10-25,META,187.89000000
170617,01,2019-10-28,META,189.40000000
170617,01,2019-10-29,META,189.31000000
170617,01,2019-10-30,META,188.25000000
170617,01,2019-10-31,META,191.65000000
170617,01,2019-11-01,META,193.62000000
170617,01,2019-11-04,META,194.72000000
170617,01,2019-11-05,META,194.32000000
170617,01,2019-11-06,META,191.55000000
170617,01,2019-11-07,META,190.42000000
170617,01,2019-11-08,META,190.84000000
170617,01,2019-11-11,META,189.61000000
170617,01,2019-11-12,META,194.47000000
170617,01,2019-11-13,META,193.19000000
170617,01,2019-11-14,META,193.15000000
170617,01,2019-11-15,META,195.10000000
170617,01,2019-11-18,META,197.40000000
170617,01,2019-11-19,META,199.32000000
170617,01,2019-11-20,META,197.51000000
170617,01,2019-11-21,META,197.93000000
170617,01,2019-11-22,META,198.82000000
170617,01,2019-11-25,META,199.79000000
170617,01,2019-11-26,META,198.97000000
170617,01,2019-11-27,META,202.00000000
170617,01,2019-11-29,META,201.64000000
170617,01,2019-12-02,META,199.70000000
170617,01,2019-12-03,META,198.82000000
170617,01,2019-12-04,META,198.71000000
170617,01,2019-12-05,META,199.36000000
170617,01,2019-12-06,META,201.05000000
170617,01,2019-12-09,META,201.34000000
170617,01,2019-12-10,META,200.87000000
170617,01,2019-12-11,META,202.26000000
170617,01,2019-12-12,META,196.75000000
170617,01,2019-12-13,META,194.11000000
170617,01,2019-12-16,META,197.92000000
170617,01,2019-12-17,META,198.39000000
170617,01,2019-12-18,META,202.50000000
170617,01,2019-12-19,META,206.06000000
170617,01,2019-12-20,META,206.30000000
170617,01,2019-12-23,META,206.18000000
170617,01,2019-12-24,META,205.12000000
170617,01,2019-12-26,META,207.79000000
170617,01,2019-12-27,META,208.10000000
170617,01,2019-12-30,META,204.41000000
170617,01,2019-12-31,META,205.25000000
170617,01,2020-01-02,META,209.78000000
170617,01,2020-01-03,META,208.67000000
170617,01,2020-01-06,META,212.60000000
170617,01,2020-01-07,META,213.06000000
170617,01,2020-01-08,META,215.22000000
170617,01,2020-01-09,META,218.30000000
170617,01,2020-01-10,META,218.06000000
170617,01,2020-01-13,META,221.91000000
170617,01,2020-01-14,META,219.06000000
170617,01,2020-01-15,META,221.15000000
170617,01,2020-01-16,META,221.77000000
170617,01,2020-01-17,META,222.14000000
170617,01,2020-01-21,META,221.44000000
170617,01,2020-01-22,META,221.32000000
170617,01,2020-01-23,META,219.76000000
170617,01,2020-01-24,META,217.94000000
170617,01,2020-01-27,META,214.87000000
170617,01,2020-01-28,META,217.79000000
170617,01,2020-01-29,META,223.23000000
170617,01,2020-01-30,META,209.53000000
170617,01,2020-01-31,META,201.91000000
170617,01,2020-02-03,META,204.19000000
170617,01,2020-02-04,META,209.83000000
170617,01,2020-02-05,META,210.11000000
170617,01,2020-02-06,META,210.85000000
170617,01,2020-02-07,META,212.33000000
170617,01,2020-02-10,META,213.06000000
170617,01,2020-02-11,META,207.19000000
170617,01,2020-02-12,META,210.76000000
170617,01,2020-02-13,META,213.14000000
170617,01,2020-02-14,META,214.18000000
170617,01,2020-02-18,META,217.80000000
170617,01,2020-02-19,META,217.49000000
170617,01,2020-02-20,META,214.58000000
170617,01,2020-02-21,META,210.18000000
170617,01,2020-02-24,META,200.72000000
170617,01,2020-02-25,META,196.77000000
170617,01,2020-02-26,META,197.20000000
170617,01,2020-02-27,META,189.75000000
170617,01,2020-02-28,META,192.47000000
170617,01,2020-03-02,META,196.44000000
170617,01,2020-03-03,META,185.89000000
170617,01,2020-03-04,META,191.76000000
170617,01,2020-03-05,META,185.17000000
170617,01,2020-03-06,META,181.09000000
170617,01,2020-03-09,META,169.50000000
170617,01,2020-03-10,META,178.19000000
170617,01,2020-03-11,META,170.24000000
170617,01,2020-03-12,META,154.47000000
170617,01,2020-03-13,META,170.28000000
170617,01,2020-03-16,META,146.01000000
170617,01,2020-03-17,META,149.42000000
170617,01,2020-03-18,META,146.96000000
170617,01,2020-03-19,META,153.13000000
170617,01,2020-03-20,META,149.73000000
170617,01,2020-03-23,META,148.10000000
170617,01,2020-03-24,META,160.98000000
170617,01,2020-03-25,META,156.21000000
170617,01,2020-03-26,META,163.34000000
170617,01,2020-03-27,META,156.79000000
170617,01,2020-03-30,META,165.95000000
170617,01,2020-03-31,META,166.80000000
170617,01,2020-04-01,META,159.60000000
170617,01,2020-04-02,META,158.19000000
170617,01,2020-04-03,META,154.18000000
170617,01,2020-04-06,META,165.55000000
170617,01,2020-04-07,META,168.83000000
170617,01,2020-04-08,META,174.28000000
170617,01,2020-04-09,META,175.19000000
170617,01,2020-04-13,META,174.79000000
170617,01,2020-04-14,META,178.17000000
170617,01,2020-04-15,META,176.97000000
170617,01,2020-04-16,META,176.25000000
170617,01,2020-04-17,META,179.24000000
170617,01,2020-04-20,META,178.24000000
170617,01,2020-04-21,META,170.80000000
170617,01,2020-04-22,META,182.28000000
170617,01,2020-04-23,META,185.13000000
170617,01,2020-04-24,META,190.07000000
170617,01,2020-04-27,META,187.50000000
170617,01,2020-04-28,META,182.91000000
170617,01,2020-04-29,META,194.19000000
170617,01,2020-04-30,META,204.71000000
170617,01,2020-05-01,META,202.27000000
170617,01,2020-05-04,META,205.26000000
170617,01,2020-05-05,META,207.07000000
170617,01,2020-05-06,META,208.47000000
170617,01,2020-05-07,META,211.26000000
170617,01,2020-05-08,META,212.35000000
170617,01,2020-05-11,META,213.18000000
170617,01,2020-05-12,META,210.10000000
170617,01,2020-05-13,META,205.10000000
170617,01,2020-05-14,META,206.81000000
170617,01,2020-05-15,META,210.88000000
170617,01,2020-05-18,META,213.19000000
170617,01,2020-05-19,META,216.88000000
170617,01,2020-05-20,META,229.97000000
170617,01,2020-05-21,META,231.39000000
170617,01,2020-05-22,META,234.91000000
170617,01,2020-05-26,META,232.20000000
170617,01,2020-05-27,META,229.14000000
170617,01,2020-05-28,META,225.46000000
170617,01,2020-05-29,META,225.09000000
170617,01,2020-06-01,META,231.91000000
170617,01,2020-06-02,META,232.72000000
170617,01,2020-06-03,META,230.16000000
170617,01,2020-06-04,META,226.29000000
170617,01,2020-06-05,META,230.77000000
170617,01,2020-06-08,META,231.40000000
170617,01,2020-06-09,META,238.67000000
170617,01,2020-06-10,META,236.73000000
170617,01,2020-06-11,META,224.43000000
170617,01,2020-06-12,META,228.58000000
170617,01,2020-06-15,META,232.50000000
170617,01,2020-06-16,META,235.65000000
170617,01,2020-06-17,META,235.53000000
170617,01,2020-06-18,META,235.94000000
170617,01,2020-06-19,META,238.79000000
170617,01,2020-06-22,META,239.22000000
170617,01,2020-06-23,META,242.24000000
170617,01,2020-06-24,META,234.02000000
170617,01,2020-06-25,META,235.68000000
170617,01,2020-06-26,META,216.08000000
170617,01,2020-06-29,META,220.64000000
170617,01,2020-06-30,META,227.07000000
170617,01,2020-07-01,META,237.55000000
170617,01,2020-07-02,META,233.42000000
170617,01,2020-07-06,META,240.28000000
170617,01,2020-07-07,META,240.86000000
170617,01,2020-07-08,META,243.58000000
170617,01,2020-07-09,META,244.50000000
170617,01,2020-07-10,META,245.07000000
170617,01,2020-07-13,META,239.00000000
170617,01,2020-07-14,META,239.73000000
170617,01,2020-07-15,META,240.28000000
170617,01,2020-07-16,META,240.93000000
170617,01,2020-07-17,META,242.03000000
170617,01,2020-07-20,META,245.42000000
170617,01,2020-07-21,META,241.75000000
170617,01,2020-07-22,META,239.87000000
170617,01,2020-07-23,META,232.60000000
170617,01,2020-07-24,META,230.71000000
170617,01,2020-07-27,META,233.50000000
170617,01,2020-07-28,META,230.12000000
170617,01,2020-07-29,META,233.29000000
170617,01,2020-07-30,META,234.50000000
